"site","years","prot_ha_yr","scenario"
"W39_JMSPH...James",1,0.00238305765994362,"P"
"X114_Ludo.Baiao",1,0,"P"
"X241_Terschelling",1,4.87166277516696e-05,"P"
"W31_Eel.Pond..Waquoit.Bay",1,1.74672954562997e-06,"P"
"X12_LE5.3",1,7.75804924419817e-06,"P"
"W40_Buttermilk.and.Little.Buttermilk.Bays",1,0,"P"
"W40_Three.Bays",1,0,"P"
"W69_Portinho.da.Rabida",1,0,"P"
"X14_Nisqually.River.Delta",1,0.0168577093495818,"P"
"X104_Cleveland.Bay",1,3.13686628678862,"P"
"W40_Salem.Harbor",1,0,"P"
"X114_Portinho.da.Arrabida",1,3.20306345423344e-06,"P"
"X114_Arade.River",1,0,"P"
"W40_Bass.River",1,0,"P"
"W40_Boston.Harbor.South",1,0,"P"
"W40_Wareham.River.Marks.Cove",2,0,"P"
"W59_Canal.de.Ovar",2,0,"P"
"X207_Waquoit.Bay",2,0.0254068091065561,"P"
"W39_LYNPH...Lynnhaven",2,0.0941164023047581,"P"
"X208_Cerbere.Banyuls",2,0.000150178199374021,"P"
"W39_Mumfort.Islands",2,0.00144750196010981,"P"
"X265_Nakdong.River.Estuary",2,0,"P"
"X111_Bellarine.Bank",2,1.13592154756708,"P"
"X67_Albania",2,0,"P"
"X307_Martigues",2,0.00148792366151449,"P"
"X244_Klein.Oesterwal",2,6.05566276128076e-05,"P"
"X111_Blairgowrie",2,0.159802289791797,"P"
"W40_Little.Pond",2,0,"P"
"W40_Weweantic.River",2,0,"P"
"X12_CB7.3E",2,5.88082289054484,"P"
"W40_Marblehead.Harbor",3,0,"P"
"W40_Herring.River",3,0,"P"
"W7.356_Kungalv",3,0,"P"
"W39_CB8PH...Chesapeake.Bay",3,0.291875178084551,"P"
"X12_LE3.7",3,4.16781978054323,"P"
"X12_CB6.3",3,5.86807645573078,"P"
"W40_Beverly.Harbor.Danvers.River",3,0,"P"
"X114_Obidos.Lagoon",3,0,"P"
"X207_Wareham.Harbor",3,0.20222905662718,"P"
"X12_EE3.4",3,5.79194088143193,"P"
"X12_WE4.3",3,42.8424563787872,"P"
"X114_Mira.River",3,0,"P"
"X207_Hamblin.Jehu.Ponds.and.Great.and.Little.Rivers",3,1.45636566360207,"P"
"X41_North.control",3,0.0669326832437271,"P"
"X31_Swartkops",3,17.4065678794823,"P"
"W7.356_Uddevalla",4,0,"P"
"W40_Bournes.Pond",4,0,"P"
"X114_Ria.de.Aveiro",4,31.9414689833641,"P"
"W41_Mobile.Bay",4,0,"P"
"W40_Stage.Harbor.System",4,0,"P"
"X71_Cairns.Harbour",4,104.233754177903,"P"
"X259_Kungalv",4,17.2163692038942,"P"
"X232_Arguin.Bank...Zostera.marina",4,0,"P"
"W40_Upper.Pleasant.Bay",4,0,"P"
"X307_Pointe.de.Berre",4,0.181759207984833,"P"
"X106_Labrador..inc.Pasir.Panjang.Beach.",4,0,"P"
"X232_Arcachon.Bay...Zostera.marina",4,0,"P"
"X12_WE4.4",4,74.2056919869425,"P"
"W40_Westport.River...East.and.West.Branch",4,0,"P"
"X106_Bajau",4,0,"P"
"X106_Pasir.Laba",5,0,"P"
"X106_Pulau.Samulun",5,0,"P"
"X106_Tanjung.Changi..Teluk.Paku..Beting.Kusah..Tanah.Merah.Besar",5,0,"P"
"T1_Watamu",5,156.370668028628,"P"
"X188a_Hillsborough.Bay",5,14.1768111302902,"P"
"X140_Ems.Estuary",5,36.4454262949121,"P"
"X12_LE4.3",5,36.8423190255437,"P"
"X12_WE4.2",5,71.144208760511,"P"
"W39_RPPMH...Rappahannock",5,2.87402823547662,"P"
"X207_Salem.Harbor",5,5.28081455476451,"P"
"X116_Pietra.Ligure..PL.",5,8.11812277448695,"P"
"W40_Ryders.Cove.Crow.Pond.Bassing.Harbor",5,0,"P"
"X41_South.control",5,0.135599846672168,"P"
"W40_Hyannis.Harbor",5,0,"P"
"W68_Corner.Inlet...Lewis.Channel",5,0,"P"
"W7.356_Stromstad",6,0,"P"
"X207_Lagoon.Pond",6,15.0045715114356,"P"
"X114_Ria.de.Alvor",6,0.387986985274365,"P"
"X12_CB7.1N",6,102.737671740045,"P"
"X12_CB7.1S",6,47.6634443076715,"P"
"X244_Oesterwal",6,0.00135382618151624,"P"
"X12_WE4.1",6,483.685039215369,"P"
"X152_Cap.Corse",6,0,"P"
"X242_Chincoteague.Bay",6,2546.77504651252,"P"
"X224_Suwannee",6,246.632171192,"P"
"X259_Uddevalla",6,76.3899279989698,"P"
"W40_Duxbury.Plymout.h.Harbors",6,0,"P"
"W40_Morris.Island",6,0,"P"
"X106_Pulau.Ubin",6,0,"P"
"W40_Wild.Harbor",6,0,"P"
"W40_Lynn.Harbor",7,0,"P"
"X207_Weweantic.Harbor",7,7.08663246920274,"P"
"X74_Jangheung.Bay",7,268.893154455264,"P"
"W57_Sandy.Cove",7,0.444852698399272,"P"
"W57_Chaik.Bay",7,0.0626084606030827,"P"
"W57_Nakwasina",7,0.340235942840717,"P"
"W34_Puget.Sound",7,12526.220329532,"P"
"W57_Funter.Bay",7,4.66965325316721,"P"
"W57_Pirates.Cove",7,0.125967283347971,"P"
"W57_Crab.Bay",7,1.13207034656353,"P"
"W40_New.Bedford.Harbor.Outer..Cla.rks.Cove",7,0,"P"
"X89_Izembek.Lagon",7,9637.89844129948,"P"
"X66_Yaquina.Estuary",7,71.739219253507,"P"
"X264_Great.Bay.Estuary",7,0,"P"
"W40_Lower.Pleasant.Bay",7,0,"P"
"W39_JMSPH...James",1,0.00238305765994362,"P2"
"X114_Ludo.Baiao",1,0,"P2"
"X241_Terschelling",1,4.87166277516696e-05,"P2"
"W31_Eel.Pond..Waquoit.Bay",1,1.74672954562997e-06,"P2"
"X12_LE5.3",1,7.75804924419817e-06,"P2"
"W40_Buttermilk.and.Little.Buttermilk.Bays",1,0,"P2"
"W40_Three.Bays",1,0,"P2"
"W69_Portinho.da.Rabida",1,0,"P2"
"X14_Nisqually.River.Delta",1,0.0168577093495818,"P2"
"X104_Cleveland.Bay",1,3.13686628678862,"P2"
"W40_Salem.Harbor",1,0,"P2"
"X114_Portinho.da.Arrabida",1,3.20306345423344e-06,"P2"
"X114_Arade.River",1,0,"P2"
"W40_Bass.River",1,0,"P2"
"W40_Boston.Harbor.South",1,0,"P2"
"W40_Wareham.River.Marks.Cove",1,0,"P2"
"W59_Canal.de.Ovar",1,0,"P2"
"X207_Waquoit.Bay",1,0.0315282603496261,"P2"
"W39_LYNPH...Lynnhaven",1,0.115411862405795,"P2"
"X208_Cerbere.Banyuls",1,0.000182429035694589,"P2"
"W39_Mumfort.Islands",1,0.00174594392719412,"P2"
"X265_Nakdong.River.Estuary",1,0,"P2"
"X111_Bellarine.Bank",1,1.34506020750465,"P2"
"X67_Albania",1,0,"P2"
"X307_Martigues",1,0.00173323838984569,"P2"
"X244_Klein.Oesterwal",2,6.05566276128076e-05,"P2"
"X111_Blairgowrie",2,0.159802289791797,"P2"
"W40_Little.Pond",2,0,"P2"
"W40_Weweantic.River",2,0,"P2"
"X12_CB7.3E",2,5.88082289054484,"P2"
"W40_Marblehead.Harbor",2,0,"P2"
"W40_Herring.River",2,0,"P2"
"W7.356_Kungalv",2,0,"P2"
"W39_CB8PH...Chesapeake.Bay",2,0.324612930334895,"P2"
"X12_LE3.7",2,4.61773269651328,"P2"
"X12_CB6.3",2,6.43025466065478,"P2"
"W40_Beverly.Harbor.Danvers.River",2,0,"P2"
"X114_Obidos.Lagoon",2,0,"P2"
"X207_Wareham.Harbor",2,0.221072611069707,"P2"
"X12_EE3.4",2,6.33082409312483,"P2"
"X12_WE4.3",2,46.7867357404242,"P2"
"X114_Mira.River",2,0,"P2"
"X207_Hamblin.Jehu.Ponds.and.Great.and.Little.Rivers",2,1.58681985238274,"P2"
"X41_North.control",2,0.0728322829763707,"P2"
"X31_Swartkops",2,18.9080918074916,"P2"
"W7.356_Uddevalla",2,0,"P2"
"W40_Bournes.Pond",2,0,"P2"
"X114_Ria.de.Aveiro",2,37.4433645022711,"P2"
"W41_Mobile.Bay",2,0,"P2"
"W40_Stage.Harbor.System",2,0,"P2"
"X71_Cairns.Harbour",3,112.124335075213,"P2"
"X259_Kungalv",3,18.5036791697579,"P2"
"X232_Arguin.Bank...Zostera.marina",3,0,"P2"
"W40_Upper.Pleasant.Bay",3,0,"P2"
"X307_Pointe.de.Berre",3,0.194421703953826,"P2"
"X106_Labrador..inc.Pasir.Panjang.Beach.",3,0,"P2"
"X232_Arcachon.Bay...Zostera.marina",3,0,"P2"
"X12_WE4.4",3,78.8908356368056,"P2"
"W40_Westport.River...East.and.West.Branch",3,0,"P2"
"X106_Bajau",3,0,"P2"
"X106_Pasir.Laba",3,0,"P2"
"X106_Pulau.Samulun",3,0,"P2"
"X106_Tanjung.Changi..Teluk.Paku..Beting.Kusah..Tanah.Merah.Besar",3,0,"P2"
"T1_Watamu",3,174.831049116489,"P2"
"X188a_Hillsborough.Bay",3,15.8492164292489,"P2"
"X140_Ems.Estuary",3,40.6235264225553,"P2"
"X12_LE4.3",3,40.8483514460082,"P2"
"X12_WE4.2",3,78.786373662973,"P2"
"W39_RPPMH...Rappahannock",3,3.15610353189489,"P2"
"X207_Salem.Harbor",3,5.7725667937837,"P2"
"X116_Pietra.Ligure..PL.",3,8.86416653392843,"P2"
"W40_Ryders.Cove.Crow.Pond.Bassing.Harbor",3,0,"P2"
"X41_South.control",3,0.147202632284445,"P2"
"W40_Hyannis.Harbor",3,0,"P2"
"W68_Corner.Inlet...Lewis.Channel",3,0,"P2"
"W7.356_Stromstad",4,0,"P2"
"X207_Lagoon.Pond",4,16.0603324563179,"P2"
"X114_Ria.de.Alvor",4,0.415094722216442,"P2"
"X12_CB7.1N",4,109.561575753912,"P2"
"X12_CB7.1S",4,50.7161671204404,"P2"
"X244_Oesterwal",4,0.00143941395948985,"P2"
"X12_WE4.1",4,511.168620544793,"P2"
"X152_Cap.Corse",4,0,"P2"
"X242_Chincoteague.Bay",4,2682.39483081631,"P2"
"X224_Suwannee",4,259.726442158632,"P2"
"X259_Uddevalla",4,80.3488868581865,"P2"
"W40_Duxbury.Plymout.h.Harbors",4,0,"P2"
"W40_Morris.Island",4,0,"P2"
"X106_Pulau.Ubin",4,0,"P2"
"W40_Wild.Harbor",4,0,"P2"
"W40_Lynn.Harbor",4,0,"P2"
"X207_Weweantic.Harbor",4,7.51646966069526,"P2"
"X74_Jangheung.Bay",4,284.835812210247,"P2"
"W57_Sandy.Cove",4,0.469886021762855,"P2"
"W57_Chaik.Bay",4,0.0661311609111645,"P2"
"W57_Nakwasina",4,0.359365661717432,"P2"
"W34_Puget.Sound",4,13230.3701022671,"P2"
"W57_Funter.Bay",4,4.93212355116135,"P2"
"W57_Pirates.Cove",4,0.133044223263476,"P2"
"W57_Crab.Bay",4,1.19565497371204,"P2"
"W40_New.Bedford.Harbor.Outer..Cla.rks.Cove",5,0,"P2"
"X89_Izembek.Lagon",5,9983.38356087411,"P2"
"X66_Yaquina.Estuary",5,74.2284032650067,"P2"
"X264_Great.Bay.Estuary",5,0,"P2"
"W40_Lower.Pleasant.Bay",5,0,"P2"
"X67_Spain",5,0,"P2"
"X111_St.Leonards",5,2.44318054949458,"P2"
"X178_Adelaide.Metropolitan.Coast",5,0,"P2"
"W7.356_Stenungsund",5,0,"P2"
"W40_West.Falmouth.Harbor",5,0,"P2"
"X201_Tokyo.Bay",5,54.2570193161565,"P2"
"X106_Pulau.Tekong",5,0,"P2"
"W63_Bahia.San.Quintin",5,0,"P2"
"W54_Estero.Bay",5,0,"P2"
"W39_YRKPH...York",5,234.789397587515,"P2"
"W39_Jenkins.Neck",5,201.188317579226,"P2"
"W39_Fleets.Bay",5,234.901351528845,"P2"
"X12_EE3.2",5,658.478390278424,"P2"
"X207_Gloucester.Harbor",5,16.4988755143745,"P2"
"X242_Chesapeake.Bay",5,8002.25415195503,"P2"
"W39_CB6PH...Chesapeake.Bay",5,285.155309134626,"P2"
"X207_Cape.Pogue..Pocha.and.Caleb.Ponds",5,191.218330100707,"P2"
"X149_Mobjack.Bay",5,2910.75152550264,"P2"
"X207_Stage.Harbor.System",5,68.4083095960544,"P2"
"X207_Wild.Harbor",5,6.22587134574285,"P2"
"X207_Inner.Sippican.Harbor",6,39.4099057872181,"P2"
"X207_Menemsha",6,138.644401328369,"P2"
"X207_Lynn.Harbor",6,248.65630173092,"P2"
"X207_Scituate.Harbor",6,4.03258340389078,"P2"
"X207_Cohasset.Harbor",6,42.9537759596599,"P2"
"W39_TANMH...Tangier",6,3759.89186093994,"P2"
"X207_Lower.Pleasant.Bay",6,442.184794942432,"P2"
"X207_New.Bedford.Outer.Harbor",6,40.2569296911688,"P2"
"X207_Morris.Island",6,56.7149878687187,"P2"
"W39_MOBPH...Mobjack",6,3174.94398176002,"P2"
"X207_West.Falmouth",6,19.0776919295571,"P2"
"X12_CB7.2E",6,102.393262654645,"P2"
"X207_Duxbury.Plymouth.Harbor",6,734.295392588637,"P2"
"X12_CB7.1",6,315.37135644144,"P2"
"X207_East.West.Branch.Westport.River",6,199.871739009037,"P2"
"X207_Pocasset.Harbor",6,13.3707031165411,"P2"
"X12_EE3.5",6,597.916470843848,"P2"
"W39_Vaucluse.Shores",6,273.696689137029,"P2"
"X207_Boston.Harbor",6,42.6100944028933,"P2"
"W4.350_Maquoit.Bay",6,428.583340287409,"P2"
"X207_Upper.Pleasant.Bay",6,80.1251566619263,"P2"
"X207_Madaket.Harbor",6,232.14821024486,"P2"
"X207_West.Cape.Cod.Canal",6,103.286002967907,"P2"
"W39_CB7PH...Chesapeake.Bay",6,3063.04321722765,"P2"
"X207_Ryders.Cove.Crow.Pond.Bassing.Harbor",6,50.3634642630288,"P2"
"X207_Quissett",7,16.2358471811517,"P2"
"W39_East.River",7,217.86592102807,"P2"
"W39_POCMH...Pocomoke",7,498.854562446804,"P2"
"X207_Lake.Tashmoo",7,18.4891309783988,"P2"
"X101_Maroom",7,1822.71872627044,"P2"
"X83_Northern.Deception.Bay",7,164.67939560987,"P2"
"X187_Kaipara.Harbour...Control.3",7,0.101003451452491,"P2"
"X158_Wanga.Wallen",7,440.396871608525,"P2"
"X187_Kaipara.Harbour...Control.2",7,0.602242544697786,"P2"
"X187_Kaipara.Harbour...Control.4",7,0.201468718241029,"P2"
"X244_Centre.Bank",7,0.0210259135116737,"P2"
"X37_All.Lake.Macquarie",7,1467.11672045074,"P2"
"X101_Eastern.Banks",7,8049.64158992183,"P2"
"X158_Eastern.Banks",7,7122.23303891234,"P2"
"W27_Esperance.Bay",7,416.008552829333,"P2"
"X158_Moreton.Banks",7,1468.4137319728,"P2"
"W26.346_Wallis.Lake",7,1958.74856656389,"P2"
"X244_Bottelary",7,7.45855515978149,"P2"
"W28_Warnbro.Sound",7,206.061617821704,"P2"
"X101_Amity",7,2092.2207417921,"P2"
"X101_Wanga.Wallen",7,469.687271840499,"P2"
"X101_Chain",7,628.018433206574,"P2"
"X12_CB8.1",7,0.749952708427443,"P2"
"X151_Southern.study.area",7,256.011271896836,"P2"
"X37_Tuggerah.Lakes",7,0,"P2"
"W39_JMSPH...James",1,0.00238305765994362,"PR"
"X114_Ludo.Baiao",1,0,"PR"
"X241_Terschelling",1,4.87166277516696e-05,"PR"
"W31_Eel.Pond..Waquoit.Bay",1,1.74672954562997e-06,"PR"
"X12_LE5.3",1,7.75804924419817e-06,"PR"
"W40_Buttermilk.and.Little.Buttermilk.Bays",1,0,"PR"
"W40_Three.Bays",1,0,"PR"
"W69_Portinho.da.Rabida",1,0,"PR"
"X14_Nisqually.River.Delta",1,0.0168577093495818,"PR"
"X104_Cleveland.Bay",1,3.13686628678862,"PR"
"W40_Salem.Harbor",1,0,"PR"
"X114_Portinho.da.Arrabida",1,3.20306345423344e-06,"PR"
"X114_Arade.River",1,0,"PR"
"W40_Bass.River",1,0,"PR"
"W40_Boston.Harbor.South",1,0,"PR"
"W40_Wareham.River.Marks.Cove",2,0.0812962962962963,"PR"
